Wall time,Step,Value
1682430704.694258,323,2276.215087890625
1682430712.346337,324,2202.887451171875
1682430719.9846041,325,2410.494384765625
1682430727.4765549,326,2353.233154296875
1682430735.1484022,327,2296.132568359375
1682430742.964888,328,2252.25634765625
1682430750.7393143,329,2255.526123046875
1682430758.9356644,330,2304.590576171875
1682430767.067542,331,2274.507568359375
1682430774.9490755,332,2132.19287109375
1682430783.1163523,333,2078.957275390625
1682430790.9246807,334,2117.918701171875
1682430798.9302363,335,2125.703857421875
1682430806.8046124,336,2203.436279296875
1682430814.646419,337,2413.296630859375
1682430822.5126286,338,2567.08251953125
1682430830.4944355,339,2348.1962890625
1682430838.4823785,340,2332.939453125
1682430846.9611413,341,2392.558837890625
1682430855.4868321,342,2199.755615234375
1682430864.1721807,343,2074.13427734375
1682430873.8111382,344,2131.919189453125
1682430882.9179673,345,2237.898193359375
1682430891.9424696,346,2067.92822265625
1682430901.3405173,347,2006.4671630859375
1682430909.6767387,348,2085.741943359375
1682430917.8490095,349,2281.62744140625
1682430925.9532645,350,2198.5810546875
1682430934.1108544,351,2499.650634765625
1682430942.2884817,352,2463.85888671875
1682430950.6537693,353,2057.338623046875
1682430958.9386492,354,2089.321044921875
1682430967.2160304,355,2178.3837890625
1682430975.4744394,356,2209.911376953125
1682430983.6653216,357,2340.028564453125
1682430991.8583436,358,2271.109375
1682431000.1715426,359,2188.669921875
1682431008.0914783,360,2227.823974609375
1682431016.3108952,361,2304.066650390625
1682431024.4139166,362,2311.278076171875
1682431032.5044434,363,2226.39013671875
1682431040.9103258,364,2180.34716796875
1682431049.182768,365,2053.4443359375
1682431058.07887,366,2083.813232421875
1682431066.6991076,367,2081.87353515625
1682431074.826158,368,2095.2333984375
1682431083.4863448,369,2129.438232421875
1682431091.574186,370,2109.19091796875
1682431099.7983367,371,2170.03515625
1682431108.1321404,372,2179.359375
1682431116.590126,373,2318.63232421875
1682431124.699812,374,2254.31396484375
1682431133.0441635,375,2247.349853515625
1682431141.3007107,376,2182.429443359375
1682431149.706178,377,2085.928466796875
1682431158.042256,378,2065.4267578125
1682431166.5578969,379,2093.007568359375
1682431174.8140025,380,2102.215576171875
1682431183.303832,381,2158.095703125
1682431191.529001,382,2275.90380859375
1682431199.655224,383,2330.875732421875
1682431207.8727555,384,2210.585693359375
1682431216.122118,385,2199.93408203125
1682431224.40525,386,2162.311279296875
1682431233.6746566,387,2113.509765625
1682431242.76838,388,2034.53125
1682431250.9909635,389,2079.666748046875
1682431259.2743297,390,1982.626220703125
1682431267.469573,391,1947.898681640625
1682431275.7465885,392,1952.9549560546875
1682431283.9713895,393,1992.9315185546875
1682431292.2709548,394,2032.8587646484375
1682431300.6469245,395,2090.231689453125
1682431308.9765098,396,2198.939697265625
1682431317.270147,397,2147.950439453125
1682431325.5175617,398,2313.900390625
1682431333.909999,399,2394.010498046875
1682431342.1315234,400,2486.346435546875
1682431350.6255436,401,2377.22998046875
1682431358.9667368,402,2324.713623046875
1682431367.1051178,403,2153.181884765625
1682431375.6332343,404,2119.5859375
1682431384.3546607,405,2106.514404296875
1682431392.9795005,406,2186.948486328125
1682431402.1302638,407,2192.255126953125
1682431410.523941,408,2149.5068359375
1682431418.802853,409,2120.3427734375
1682431427.1600826,410,2109.60009765625
1682431435.5586083,411,2083.127685546875
1682431443.8632452,412,2035.084716796875
1682431452.1122894,413,2094.15771484375
1682431460.3204684,414,2110.7001953125
1682431468.650751,415,2307.10595703125
1682431476.8778472,416,2006.7568359375
1682431485.0828564,417,2035.9755859375
1682431493.354743,418,1974.188720703125
1682431501.605306,419,1960.2821044921875
1682431509.76449,420,1917.5601806640625
1682431518.0195057,421,1927.2147216796875
1682431526.1686351,422,1910.3665771484375
1682431534.4208744,423,1898.697509765625
1682431542.6813335,424,1912.784423828125
